Question,Context
What do you think about Animals-Horse ?,"So on a scale of 0-to-Tina from Bob’s Burgers, how many horse posters did you have in your room growing up?"
What do you think about Animals-Horse ?,"Hey so as a horse person, would you say you’re looking for a guy who’s stable?"
What do you think about Animals-Horse ?,So are your favorite chips Pringles because they kinda look like little horse saddles?
What do you think about Animals-Lizard ?,Would you still be afraid of snakes if they wore little party hats?
What do you think about Animals-Lizard ?,So do you like snakes b/c they’ve probably done the most work on themselves? they even shred their own skin??
What do you think about Animals-Lizard ?,What do you think the odds are Godzilla actually loved and respected architecture..but just had places to be?
What do you think about Animals-Lizard ?,"So when you see the $ symbol, do you also see a snake pole-dancing to make ends meet?"
What do you think about Animals-Llama ?,What would you think about a service where you go on a picnic and your food is carried by a llama? we could call it 'Alpaca Lunch'
What do you think about Animals-Monkey ?,So are you superstitious? If someone gave you a monkey paw
What do you think about Animals-Monkey ?,Was watching Wizard of Oz.  These flying monkeys are still the scariest things I've ever seen.
What do you think about Animals-Monkey ?,Isnt it hard to stay productive when there are videos about a monkey getting arrested for stealing a car?
What do you think about Animals-Monkey ?,I bet those monkeys thought Jane Goodall was just some rando British ghost
What do you think about Animals-Monkey ?,A monkey has to be off-the-charts-cute for me to even crack a smile at it since now I know it could rip my face off on a whim
What do you think about Animals-Monkey ?,"Sure he's found fame, but will the Ikea monkey ever find love?"
What do you think about Animals-Monkey ?,"Do you think the craziest thing about Ross on friends was the whole “we were on a break”, or raising a monkey in an NYC apartment?"
What do you think about Animals-Ocean ?,"When you go whale watching, do you think they go OMG are they looking at me??"
What do you think about Animals-Ocean ?,So are there any other diving related holidays you want to try and get trending besides Shark Week..like Jellyfish July?
What do you think about Animals-Ocean ?,So I've been thinking about this a lot..Do you think that penguins would be less cute if they could fly?
What do you think about Animals-Ocean ?,"So when you sing Beyonce, do you change the lyrics to “If you like it, then you gotta put a sting(ray) on it”?"
What do you think about Animals-Ocean ?,Do you think Hammerhead sharks are angry because they don't have access to any nails?
What do you think about Animals-Ocean ?,Fun fact is that all whales have swimmer’s bodies
What do you think about Animals-Ocean ?,"Do you think there are paranoid whales swimming around going, “do you ever feel like you’re being watched” ?"
What do you think about Animals-Owl ?,"Do you think there are owls super into grammar going around like ""WHOM WHOM WHOM""? I'll bet they never get invited to owl parties"
What do you think about Animals-Owl ?,"When you count to three, do you always have that Tootsie Pop owl voice in your head?"
What do you think about Animals-Pig ?,"I don't know why we have three different pig emojis, but it's great for when you need to tell someone a pig is slowly approaching:"
What do you think about Animals-Pig ?,"Do you think pig relationships are the most equal, since they both technically bring home the bacon?"
What do you think about Animals-Rabbit ?,"Doesn’t “Going down a rabbit hole"" sound a lot more fun than it actually is?"
What do you think about Animals-Squirrel ?,Have you ever made eye contact with a squirrel for more than 3 seconds? it will totally change you..
What do you think about Animals-Squirrel ?,Do you think Motley Crue's famous hit song was originally called “Squirrels Squirrels Squirrels”?
What do you think about Animals-Turtle ?,So does the fact that four turtles from the sewer managed to learn ninjutsu give you the push you need to get through any workout class?
What do you think about Animals-Turtle ?,Tweenage Mutant Ninja Turtles
What do you think about Animals-Turtle ?,I’ve never been so deep in thought than after learning how turtles breathe in through their butts & out through their mouths
What do you think about Animals-Turtle ?,"If you think ""i've hit the lowest point of my life,"" buy a pet turtle, dress it in a specific sweater for each day of the week & bam, lower"
What do you think about Apartment ?,I love to host..you can tell how much I care about a party depends on how far under the couch I vacuum
What do you think about Apartment ?,I'm curious what your interior design style is..Do you have that wallpaper with like 85 giraffes in a pattern?
What do you think about Apartment ?,"What’s your home decoration like, any live/laugh/love pillows?"
What do you think about Apartment ?,Do you ever spruce up your weeknight by running the dishwasher and imagining you're on a cruise?
What do you think about Apartment ?,Are you also into home/interior design? b/c that could totally make it on HGTV (as an after-photo of course!)
What do you think about Apartment ?,So should we host a new HGTV show about fixer uppers?
What do you think about Apartment ?,You know you’ve made it when you have lots of uncomfortable chairs in your apartment
What do you think about Apartment ?,"Do you have roommates? I used to have a one who was never there, so it felt just like a ghost leaving notes that say, ""you owe $89 for cable”"
What do you think about Apartment ?,"Have you ever balanced a glass of wine on the couch for a second & thought ""wait am I in a paper towel commercial right now?"""
What do you think about Apartment ?,What's your throw pillow policy? b/c my couch is filled with throw pillows and no one can sit on my couch because of all the pillows
What do you think about Apartment ?,Do you like living alone? I'll sometimes high-five my couch
What do you think about Apartment ?,So whats the best purchase you ever made for your apartment?
What do you think about Apartment ?,"So are you someone who puts laundry away right away, or put it on the bed and then wake up with your head all the way inside a pair of sweatpants?"
What do you think about Art-Painting ?,Should we go to the MoMa and walk around asking if paintings were accidentally hung upside-down?
What do you think about Art-Painting ?,"I once took pictures of the fire extinguisher at MOMA thinking it was a work of art, so could use your expertise"
What do you think about Art-Painting ?,"What sort of museum exhibits catch your eye? I love the Strangers exhibit at the MoMa, it’s an entire room  of projectors with different musicians synced up"
What do you think about Art-Painting ?,"When you draw the sun, do you also put it in the corner? I’ll always do that to hide the fact I can’t draw a perfect circle"
What do you think about Art-Painting ?,So do you think still life paintings of fruit was the original Instagram?
What do you think about Art-Painting ?,"So what do you like to paint? If you’re just as talented at drawing games, I could use a partner for the next game night!"
What do you think about Art-Painting ?,How many times do you think Da Vinci had to paint the Mona Lisa before he got one where she wasn't blinking?
What do you think about Art-Design ?,What kinda design are you into? fav design fact is Phil Knight paid a lady $35 to design the Nike logo..it took her one day!
What do you think about Art-Design ?,Don’t you think Nike logo kinda looks like a checkmark with a dad bod?
What do you think about Art-Photography ?,"So if you owned your own photography studio, would you call it Mad Stills?"
What do you think about Car ?,So were you also really good at Tetris growing up? feels like those skills are totally applicable when parallel parking..
What do you think about Car ?,"So do you have a speaker on your motorcycle, so you can blast Elton John's 'Candle in the Wind' and yell “Ride or die” to cars as you peel away?"
What do you think about DIY ?,"What kinda projects do you think about the most? I just started woodworking, so my place is full of tables.. you’ll never have to look for somewhere to put down your drink??"
What do you think about DIY ?,"What’s your ultimate  flea market find? I just started woodworking, so am always on the lookout for reclaimed tables/chairs/ect"
What do you think about DIY ?,What do you get into in the Beyond section of Bed Bath and Beyond?
What do you think about DIY ?,"What kinda crafting projects have you been getting into? I always have woodworking projects in progress (furniture), and just took a sewing class for alterations!"
What do you think about DIY ?,"I love to create with my hands! Most recently woodworking, but I love to paint, sew bake. Anything that allows me to be creative"
What do you think about DIY ?,So what would you sell on your Etsy site? I think world needs more bedazzled phone cases
What do you think about DIY ?,custom pika shell necklaces for baseball players
What do you think about DIY ?,What are you going to name your candle shop?
What do you think about DIY ?,You may have seen me in the February edition of Modern Farmer
What do you think about DIY ?,So if you were on a reality show called “So You Think You Can Sew”..what would be the winning thing you made?
What do you think about DIY ?,I have too many! What would your DIY project be if you were on that show 'Making It’? I’d love for Nick Offerman make fun of my reclaimed furniture woodworking attempts :)
What do you think about DIY ?,"If you were on""Fixer Upper"", what would be the first room of your place you'd have taken down/redesigned?"
What do you think about Drink-Alcohol-Beer ?,If I have even three beers he’s gonna tell you about how Norbit should have won the Oscar for best makeup.
What do you think about Drink-Alcohol-Cocktails ?,"Is it still cool to order an old fashioned if I end my request with ""and all the cherries you can fit in the glass”?"
What do you think about Drink-Alcohol-Cocktails ?,Do you ever feel like you're in a tequila ad when you have margarita's and tacos?
What do you think about Drink-Alcohol-Cocktails ?,"Margaritas are basically green juice, right?"
What do you think about Drink-Alcohol-Cocktails ?,So what would be your signature cocktail if you were a bartender?
What do you think about Drink-Alcohol-Cocktails ?,"Mine would cost $176, come with imported tequila, high quality ingredients, and one month of Cable"
What do you think about Drink-Alcohol-Cocktails ?,"I’d open a bar called Soup Cocktail, and we’d basically just serve soup and cocktails"
What do you think about Drink-Alcohol-Cocktails ?,"I’d have a cocktail that was basically like a rainforest, where you could fall in love with an orangutan in there"
What do you think about Drink-Alcohol-Cocktails ?,found myself wondering where to buy celery juice for artisanal cocktails so this is the exact moment I've lived in San Francisco too long.
What do you think about Drink-Alcohol-Wine ?,"There’s green grapes, but no green wine?"
What do you think about Drink-Alcohol-Wine ?,"What are your thoughts on sangria? if nothing else, it’s a great excuse to drink wine out of a straw"
What do you think about Drink-Alcohol-Wine ?,The only problem with wine glasses with stems is that they get caught in my blankets while I’m on the couch
What do you think about Drink-Alcohol-Wine ?,"What if I brought flowers but  realized you didn't have a vase...So we had to finish a bottle of wine to use as a vase, and hey thats two presents?"
What do you think about Drink-Alcohol-Wine ?,"So you don’t think you can taste where the oak is from, or the difference between the south of France vs the middle of France? haha or if the wine has more legs, or is assertive without being pushy?"
What do you think about Drink-Coffee ?,So do you usually go out for coffee or make it at home? nothing like a big pot to feel an old school detective
What do you think about Drink-Coffee ?,"So do you feel like if you have enough caffeine, you get superpowers? for me it’s the power to fool myself into thinking I'll have a productive day"
What do you think about Drink-Coffee ?,"So do you have coffee mugs that have a lot of personality? I started out trying to get one from every city I’ve been to, but stopped after Portland and SF"
What do you think about Drink-Coffee ?,"Tea is like calming warm water pool, and coffee is like a jacuzzi yelling at you to get in"
What do you think about Drink-Coffee ?,What’s the most amount of coffee you’ve had in a day? I hear the 7th cup feels like Persuasion-level unrequited love
What do you think about Drink-Coffee ?,After the 2nd cup it feels like a Liam Neesan movie is about to happen
What do you think about Drink-Coffee ?,After the 5th cup you can see sounds and hear smells
What do you think about Drink-Coffee ?,Do you like coffee shops so hip that you don’t know if the thing you’re sitting on is a table or chair?
What do you think about Drink-Coffee ?,Do you like coffee cake
What do you think about Drink-Tea ?,So are you also guilty of leaving cups of tea/coffee around your apartment..daring the universe to make a film about your life called Don't You Forget About Tea?
What do you think about Fashion/Clothing ?,"what do you think of my fashion blog: Hang out with different people every day, so nobody knows you’ve been wearing the same outfit"
What do you think about Fashion/Clothing ?,My closet looks like the returns counter at Ross
What do you think about Fashion/Clothing ?,So what kinda design are you into? I’d love an HGTV show where they give you one really ugly piece and you have to design a room around it
What do you think about Fashion/Clothing ?,So which one of your designs will turn the fashion world on its ear at this year’s MetGala?
What do you think about Fashion/Clothing ?,So what's the fashion era you'd want to fit in best? 70s were one of the best  times in history to have bell shaped ankles..
What do you think about Fashion/Clothing ?,What was the worst middle school fashion trend you participated in? I may have had frosted tips like JT
What do you think about Fashion/Clothing ?,"do you think if Beyonce designed a pair of sneakers, that they’d be jellies? or would she not think we’re ready"
What do you think about Food-Cheese ?,I can make a cheese plate in my sleep
What do you think about Food-Cheese ?,Would you say learning to enjoy blue cheese would make you very cultured?
What do you think about Food-Cheese ?,I’m the guy who has cheese sometimes
What do you think about Food-Cheese ?,So do you thin of cheese graters as the dairy version of 'making it rain?
What do you think about Food-Cheese ?,"Everyone immediately throws out the box of Mac n Cheese, then re-reads the instructions in the garbage right..Or have you perfected the craft?"
What do you think about Food-Cheese ?,"So what’s the right way to eat string cheese..do you take the strings apart, or just bite right into it like a maniac?"
What do you think about Food-Cheese ?,Have you ever made egg rolls filled with mac n cheese? It’s a beacon of health
What do you think about Food-Cheese ?,"Wanna start a band named Da’Brie? Our first song can be called ""Party like Havarti"" and we'll tour around Wisonsin"
What do you think about Food-Cheese ?,"Do you ever like up Cheetos between your fingers like a little pan flute, and then “play” it along to jazz music? or just me"
What do you think about Food-Chicken ?,What's weird about having a crush is that I also feel the same way about chicken tenders.
What do you think about Food-Chicken ?,You gotta break a few eggs to get back at a chicken who wronged you
What do you think about Food-Chicken ?,So if I got out of that limo on The Bachelor with a bucket of fried chicken..instant rose?
What do you think about Food-Chicken ?,Hear me out: Fried chicken ON a burger. Think it’ll work?
What do you think about Food-Chicken ?,So do you think you become an adult when you become the person opening a carton of eggs to check it before buying?
What do you think about Food-Chicken ?,Do you think there are any free-range chickens that took a semester off to backpack through Europe?
What do you think about Food-Breakfast  ?,"Really the debate should be which brand of cereal can you eat at night in underwear, and still feel classy? Definitely Muesli, right?"
What do you think about Food-Breakfast  ?,I’ve never met a Pop-Tart I didn't like
What do you think about Food-Cooking  ?,cover of breakfast magazin
What do you think about Food-Cooking  ?,57 step recipie
What do you think about Food-Cooking  ?,So what’s your baking specialty? I’d love to learn to make focaccia so good it makes the cover of Breakfast Monthly magazine??
What do you think about Food-Cooking  ?,"I don’t have time to cook a recipe that takes one hour, but I do have time to watch 3 hours of a cooking competition show"
What do you think about Food-Cooking  ?,So do you have any cooking mistakes that turned into recipe staples? My famous birthday brownies came about from using the wrong type of flour?????
What do you think about Food-Cooking  ?,"Do you think they’re called waffles because after you eat too many, you’re unable to make any big decisions for the rest of the day?"
What do you think about Food-Cooking  ?,What’s a controversial food opinion you have? I think bacon is used waay too much
What do you think about Food-Cooking  ?,"every fire alarm should have a button that says, “sorry just making toast”"
What do you think about Food-Cooking  ?,Do you cook so much that you use the back-right oven burner? I don’t think I’ve ever used that one
What do you think about Food-Cooking  ?,"If a recipe requires onions, have you tried substituting Funyons for them? and also for all the other ingredients?"
What do you think about Food-Cooking  ?,Have you ever brought a dirty dish to a potlock and say that everyone ate yours?
What do you think about Food-Cooking  ?,What’s an obscure quote from a movie that you think about the most? For me there are tons but probably “that caviar is a GARNISH” from You’ve Got Mail
What do you think about Food-Cooking  ?,"So what cooking show would you want to be on? I’d love to be a contestant on Cupcake Wars, but only to make bad puns like “I didn’t come here to make any flans”"
What do you think about Food-Cooking  ?,What are your thoughts on starting a butt-shaped cookie company? We could call it “Damn Dat Ass Dough”
What do you think about Food-Cooking  ?,"So you must have a thousand recepies, what kind of cook-book are you coming out with..snacks on a train?"
What do you think about Food-Cooking  ?,I'd want to make a cook-book where Step 5 of every recipe was ‘add all the garlic you can fit’
What do you think about Food-Cooking  ?,Do you have a favorite food celebrity couple? mine is bread and cheese
What do you think about Food-Cooking  ?,Bread and cheese is my bread and butter
What do you think about Food-Cooking  ?,Is there ever a situation where everyone feels like they got enough garlic bread?
What do you think about Food-Cooking  ?,Do you ever reach into the back of the toaster oven to pull out your bread? It’s the ultimate high stakes game of Operation
What do you think about Food-Cooking  ?,What are your thoughts on end pieces of bread? do they get jealous when they see you open a new thing of bread
What do you think about Food-Cooking  ?,"Do you make up jingles for things you're cooking, like 'somebody call naan one one'?"
What do you think about Food-Cooking  ?,"Are you Ph? real?! Do you like to cook/make ramen at home? Love eating it at a restaurant, but eating it at home reminds me of college Top Ramen days lol"
What do you think about Food-Cooking  ?,"Are you the same with recipes? Where strangers list their entire life story, theory of food and 18 giant color photos beforehand"
What do you think about Food-Cooking  ?,"Do you normally cook simple things where the name where the name is the recipe, like grilled cheese? Or only consider meals that have redux or infused in the title"
What do you think about Food-Cooking  ?,When they say “surround yourself with the things you love”..do you also imagine waking up in a pile of grilled cheese sandwiches?
What do you think about Food-Cooking  ?,So do you also use the fire alarm instead of a timer?
What do you think about Food-Cooking  ?,"So if you were in Cupcake Wars, would you be the competitive one that was like “I didn’t come here to make flans”?"
What do you think about Food-Cooking  ?,Have you ever tried to make a cake look like something else besides  a  cake?
What do you think about Food-Cooking  ?,Didn't movies really make it seem like pepper would make you sneeze at inopportune times in your life
What do you think about Food-Cooking  ?,"So when you're cooking soup, do you think putting on the song “Round and Round"" helps?"
What do you think about Food-Cooking  ?,So do you think Sriracha sauce will be the most valuable thing after the apocalypse? maybe second to booze
What do you think about Food-Desert ?,Do you think the time is finally right for my Otter Pop movie franchise? feels like there’s a good rom-com story here..
What do you think about Food-Desert ?,"So eating a whole pan of Rice Krispy treats - mistake, or best night of your life?"
What do you think about Food-Desert ?,So are Pop Tarts like the Real Housewives of pastry?
What do you think about Food-Desert ?,Are people in culinary school required to do dessertations?
What do you think about Food-Desert ?,Donuts: Bagels of the sea? Gonna open a shop called SF Bagels and not serve any bagels at all just donuts
What do you think about Food-Desert ?,Have you ever actually seen someone dunk a donut at Dunkin Donuts?
What do you think about Food-Desert ?,"What are your feelings on carrot cake? I once made my ‘favorite' birthday cake this, just so there’s leftovers.."
What do you think about Food-Desert ?,So I’m wondering..those studies that say chocolate activates the same brain sensors as falling in love. Do you think it means we’re just all in love with chocolate?
What do you think about Food-Desert ?,"So do you ever think the sour patch kids you just ate are all melted together in a giant ball in your stomach, trying to start a coup?"
What do you think about Food-Desert ?,"Can I sign up for your foodie club? My favorite foods are ice cream and cereal, so I'd make a great addition"
What do you think about Food-Desert ?,So do you think you’d want more ice cream from the ice cream truck guy if his bell didn't sound so sad? maybe something more on the nose like that “Pour Some Sugar” song..
What do you think about Food-Desert ?,So have you ever thought about jumping over the counter at McDonalds and putting your mouth right under the ice cream machine?
What do you think about Food-Desert ?,Do you think the brown ones are really just clear M&M’s?
What do you think about Food-Desert ?,So do you get furious at an Oreo if it's only being single-stuffed?
What do you think about Food-Desert ?,"Let me see..Pancakes are flat muffins, muffins are cupcakes without icing, and cupcakes are mini cakes. Sooo..can we order cake?"
What do you think about Food-Desert ?,"So do you go for pancakes one at a time, or go all in on the stack?"
What do you think about Food-Desert ?,Do you think they only invented lemon Starbursts so you'd have some way to punish your enemies?
What do you think about Food-Desert ?,"Aint no party like a #lemonparty ?? Do you think one day, constructing dresses out of Starburst wrappers will be trendy..and will you be ready for that day?"
What do you think about Food-Farmers Market ?,So what’s the perfect farmer’s market find? I’m excellent at holding vegetables up to the light to find the perfect one :)
What do you think about Food-Farmers Market ?,"So when we get a farm, what kinda stand will we have at the farmer’s market? I wanna be the fun one with live music"
What do you think about Food-Farmers Market ?,haha there’s no such thing! What are you always hoping to find? I’m a sucker for a good toffee sample
What do you think about Food-Farmers Market ?,nothing shadier than a weeknight farmer’s market
What do you think about Food-Farmers Market ?,"If there was a booth at the Farmer's Market that you'd want, what would it be? there’s never a Snicker’s booth.."
What do you think about Food-Farmers Market ?,“yo I got beets by the bunch” - farmer’s market rap battle
What do you think about Food-Farmers Market ?,everyone at the farmer’s market knows I’m a fraud as I gush over the starfruit samples
What do you think about Food-Farmers Market ?,favorite way to ruin a farmers market: beehive
What do you think about Food-Farmers Market ?,So which free samples are you going for at the Farmer’s Market? or do you avoid all the savages going after little squares of fruit with a toothpick..
What do you think about Food-Farmers Market ?,"That new Farmer’s Market is great, but they keep denying my homemade huckleberry jam"
What do you think about Food-Fries ?,Eyes on the fries..
What do you think about Food-Fries ?,Courage is looking your waiter in the eye as you order your third bowl of cheese fries
What do you think about Food-Fries ?,We should name our band “Fries up”
What do you think about Food-Fries ?,It’s funny when there’s a serving size for fries..like imagine stopping after only 7 sweet potato fries
What do you think about Food-Fries ?,Fries or salad sums up every adult decision you have to make
What do you think about Food-Fruit ?,"Do you think tomatoes are thrilled about being identified by other fruit? cherry tomatoe, grape tomatoe, ect."
What do you think about Food-Fruit ?,"Why do you think dried grapes were called raisens, but dried blueberries aren't called braisens?"
What do you think about Food-Fruit ?,Is there anything more risky than buying blueberries and hoping they won’t be sour?
What do you think about Food-Fruit ?,"Oranges are great for you too! ""C"" what I mean? (sorry that was..bad??)"
What do you think about Food-Fruit ?,Have you ever had a night mimosa? (It's prosecco and pineapple juice)
What do you think about Food-Grocery Store ?,Being on a moving walkway at an airport is probably how my groceries feel on that conveyer belt
What do you think about Food-Grocery Store ?,So what do you do when a new checkout line opens up at target and u & another shopper see it at the same time?
What do you think about Food-Grocery Store ?,"Do you wanna walk down the aisle with me? at the supermarket, to get more snacks"
What do you think about Food-Grocery Store ?,Honey should only be allowed to be sold in those squeezy bear shaped bottles
What do you think about Food-Grocery Store ?,When the fake-thunder sound effect goes off in the produce section
What do you think about Food-Grocery Store ?,I can’t not make finger hats when I see an open bag of Bugles
What do you think about Food-Grocery Store ?,Sandra Bullock in Gravity desperately flailing to grab onto something is like me when I share a plate of nachos
What do you think about Food-Grocery Store ?,You know you’re about to have fun when you’re carrying
What do you think about Food-Grocery Store ?,What kinda grocery shopper are you? a list maker or impulse buyer going up and down every isle ?
What do you think about Food-Grocery Store ?,What’s your best Costco find? Every time I wander around I feel like I'm going to come across a pallet of 8 sailboats for $1
What do you think about Food-Grocery Store ?,What’snthe food with the best ‘tastes great but sounds terrible’? My vote is Dumplings
What do you think about Food-Grocery Store ?,"Do you think Taco Bell hot sauce packets ever expire, or do they eventually just grow little legs and walk right out of your house?"
What do you think about Food-Italian ?,What’s your most controversial pasta opinion? I think leftover spaghetti > hot new spaghetti
What do you think about Food-Italian ?,"""Well it's no Olive Garden.""-- my review of every restaurant"
What do you think about Food-Italian ?,"So what are your gardening tricks, does playing the Garden State soundtrack for them help? I’m attempting some tomatoes, and maybe basil for pesto"
What do you think about Food-Italian ?,What would be your ideal speech at the end of a romcom? b/c mine is: “let’s eat an irresponsible amount of spaghetti and garlic bread and then nap it off”
What do you think about Food-Italian ?,Do you like a thick noodle? or angel hair all the way
What do you think about Food-Mexican ?,I wrote you a haiku:
What do you think about Food-Mexican ?,Do you like tacos?
What do you think about Food-Mexican ?,"I also like tacos, too"
What do you think about Food-Mexican ?,We are similar
What do you think about Food-Mexican ?,"I say we write a book called Beans & Beagles - it’s about a dog, and burritos..and that’s all I have so far"
What do you think about Food-Mexican ?,"Do you ever get nervous when it’s your turn to order at Chipotle, so you yell over the glass all businesslike (but about tacos)?"
What do you think about Food-Mexican ?,Honestly the best hangover cure is a burrito the size of your head
What do you think about Food-Mexican ?,Have you reached that point in your life where you’re just about ready to settle down with a nice burrito?
What do you think about Food-Mexican ?,Hinge for people who happen to have an extra burrito
What do you think about Food-Mexican ?,"It’s not really the weekend until you've rubbed residual sriracha from a breakfast burrito into your eye, right?"
What do you think about Food-Mexican ?,Just made my own breakfast burrito. Wrapped it in foil to complete the efffect
What do you think about Food-Pizza ?,refrigerators should be bigger so you can fit the pizza box in it
What do you think about Food-Pizza ?,Don’t you think it’s weird that margarita pizza doesn't have any alcohol in it?
What do you think about Food-Pizza ?,"Wanna come find the best pizza in SF with me? My vision board is basically a pizza box..and I'll be honest, the future looks delicious"
What do you think about Food-Pizza ?,Idea: Drive Through Pizza
What do you think about Food-Pizza ?,"So when you see another apartment being delivered a pizza, do you also feel a little left out?"
What do you think about Food-Pizza ?,"when the pepperoni curls up on a pizza, do your toes also curl up?"
What do you think about Food-Pizza ?,there’s a real good shot of a sbarro pizza in the spice girls 2 become 1 video..Is there anything spicier than mall pizza?
What do you think about Food-Pizza ?,Can we agree that the best part of pizza is the tip?
What do you think about Food-Pizza ?,Open a place called Pizza Tips
What do you think about Food-Pizza ?,"I’m with you, I’ll take a pizza in the sheets and a pizza in the streets. Does anything beat Golden Boy Pizza?"
What do you think about Food-Pizza ?,You know that move when a singer points to the sky to hit that super high note..Is that what you did right before you ate the last slice?
What do you think about Food-Hot Dogs ?,dont you think hot dogs and hot dog buns should be packaged with the same number?
What do you think about Food-Restaurant ?,DoorDash comments: There’s enough here for two…
What do you think about Food-Restaurant ?,Do you also spend time researching the menu online beforehand? or scrolling Yelp for hours looking at zoomed-in upside-down photos..
What do you think about Food-Restaurant ?,Don’t you think every website for a restaurant should go straight to the menu?
What do you think about Food-Restaurant ?,"Do you think restaurants love appetizers in threes, just to see the awkward way"
